ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
IH1506.CFX,20150416,,3051.6,3153.0,3298.0,3088.8,3295.0,3237.6,243.4,186.0,10000.0,954473.484,3604.0,
IH1512.CFX,20150416,,3066.6,3118.8,3325.8,3107.4,3318.4,3259.4,251.8,192.8,717.0,69112.404,240.0,
IH1505.CFX,20150416,,3058.8,3100.0,3288.2,3088.8,3283.8,3223.6,225.0,164.8,144423.0,13772866.404,28848.0,
IH1509.CFX,20150416,,3036.8,3089.0,3309.8,3084.4,3298.8,3251.6,262.0,214.8,1727.0,164885.406,772.0,
IH1512.CFX,20150417,3318.4,3259.4,3356.8,3408.8,3294.4,3315.4,3336.6,56.0,77.2,574.0,57758.52,326.0,86.0
IH1506.CFX,20150417,3295.0,3237.6,3303.0,3345.4,3245.2,3267.8,3283.8,30.2,46.2,17943.0,1776951.084,5010.0,1406.0
IH1505.CFX,20150417,3283.8,3223.6,3303.6,3341.6,3238.0,3254.0,3280.8,30.4,57.2,271224.0,26755207.272,37853.0,9005.0
IH1509.CFX,20150417,3298.8,3251.6,3298.8,3368.8,3265.0,3284.6,3301.8,33.0,50.2,3220.0,320110.296,1645.0,873.0
IH1512.CFX,20150420,3315.4,3336.6,3331.4,3382.8,3212.8,3212.8,3244.8,-123.8,-91.8,482.0,47947.158,447.0,121.0
IH1509.CFX,20150420,3284.6,3301.8,3317.8,3340.0,3164.0,3167.6,3194.4,-134.2,-107.4,3376.0,332188.914,1953.0,308.0
IH1506.CFX,20150420,3267.8,3283.8,3310.0,3322.4,3151.4,3154.0,3185.6,-129.8,-98.2,20581.0,2012427.99,5284.0,274.0
IH1505.CFX,20150420,3254.0,3280.8,3258.0,3315.0,3143.6,3146.8,3176.8,-134.0,-104.0,267213.0,26052943.35,37975.0,122.0
IH1512.CFX,20150421,3212.8,3244.8,3234.2,3304.2,3220.2,3298.8,3279.2,54.0,34.4,411.0,40164.12,482.0,35.0
IH1506.CFX,20150421,3154.0,3185.6,3177.6,3245.6,3163.4,3238.8,3219.0,53.2,33.4,13016.0,1250593.152,5354.0,70.0
IH1505.CFX,20150421,3146.8,3176.8,3176.8,3242.2,3153.0,3234.0,3211.2,57.2,34.4,239311.0,22932009.348,37771.0,-204.0
IH1509.CFX,20150421,3167.6,3194.4,3186.4,3255.0,3174.4,3248.8,3228.4,54.4,34.0,2094.0,201928.77,1841.0,-112.0
IH1505.CFX,20150422,3234.0,3211.2,3250.0,3333.2,3229.8,3308.0,3309.6,96.8,98.4,239676.0,23547571.548,42623.0,4852.0
IH1509.CFX,20150422,3248.8,3228.4,3260.4,3351.8,3251.0,3332.0,3327.0,103.6,98.6,1938.0,191292.588,2021.0,180.0
IH1512.CFX,20150422,3298.8,3279.2,3298.8,3398.0,3297.4,3380.4,3375.0,101.2,95.8,311.0,31124.262,545.0,63.0
IH1506.CFX,20150422,3238.8,3219.0,3251.0,3335.4,3236.6,3316.4,3312.2,97.4,93.2,11398.0,1121939.862,5823.0,469.0
IH1506.CFX,20150423,3316.4,3312.2,3324.8,3354.6,3258.6,3271.8,3278.6,-40.4,-33.6,12531.0,1242488.532,5847.0,24.0
IH1509.CFX,20150423,3332.0,3327.0,3367.8,3369.8,3276.8,3286.0,3293.2,-41.0,-33.8,2723.0,270825.846,2338.0,317.0
IH1512.CFX,20150423,3380.4,3375.0,3393.8,3416.0,3320.0,3334.6,3340.8,-40.4,-34.2,284.0,28684.224,556.0,11.0
IH1505.CFX,20150423,3308.0,3309.6,3318.6,3348.2,3253.4,3267.8,3273.2,-41.8,-36.4,246929.0,24434814.828,39573.0,-3050.0
IH1505.CFX,20150424,3267.8,3273.2,3248.8,3267.8,3170.0,3233.0,3236.6,-40.2,-36.6,224297.0,21701019.552,36034.0,-3539.0
