ts_code,exchange,name,per_unit,opt_code,opt_type,call_put,exercise_type,exercise_price,s_month,maturity_date,list_price,list_date,delist_date,last_edate,last_ddate,quote_unit,min_price_chg
10000869.SH,SSE,华夏上证50ETF期权1705认购2.25,10000.0,OP510050.SH,ETF期权,C,欧式,2.25,201705,20170524,0.0975,20170323,20170524,20170524,20170525,人民币元,0.0001
10000870.SH,SSE,华夏上证50ETF期权1705认购2.30,10000.0,OP510050.SH,ETF期权,C,欧式,2.3,201705,20170524,0.0586,20170323,20170524,20170524,20170525,人民币元,0.0001
10000871.SH,SSE,华夏上证50ETF期权1705认购2.35,10000.0,OP510050.SH,ETF期权,C,欧式,2.35,201705,20170524,0.0326,20170323,20170524,20170524,20170525,人民币元,0.0001
10000872.SH,SSE,华夏上证50ETF期权1705认购2.40,10000.0,OP510050.SH,ETF期权,C,欧式,2.4,201705,20170524,0.0167,20170323,20170524,20170524,20170525,人民币元,0.0001
10000873.SH,SSE,华夏上证50ETF期权1705认购2.45,10000.0,OP510050.SH,ETF期权,C,欧式,2.45,201705,20170524,0.0084,20170323,20170524,20170524,20170525,人民币元,0.0001
10000874.SH,SSE,华夏上证50ETF期权1705认沽2.25,10000.0,OP510050.SH,ETF期权,P,欧式,2.25,201705,20170524,0.0097,20170323,20170524,20170524,20170525,人民币元,0.0001
10000879.SH,SSE,华夏上证50ETF期权1705认购2.50,10000.0,OP510050.SH,ETF期权,C,欧式,2.5,201705,20170524,0.0032,20170406,20170524,20170524,20170525,人民币元,0.0001
10000880.SH,SSE,华夏上证50ETF期权1705认沽2.50,10000.0,OP510050.SH,ETF期权,P,欧式,2.5,201705,20170524,0.1191,20170406,20170524,20170524,20170525,人民币元,0.0001
10001253.SH,SSE,华夏上证50ETF期权1804认购2.95,10000.0,OP510050.SH,ETF期权,C,欧式,2.95,201804,20180425,0.0776,20180301,20180425,20180425,20180426,人民币元,0.0001
10001254.SH,SSE,华夏上证50ETF期权1804认购3.00,10000.0,OP510050.SH,ETF期权,C,欧式,3.0,201804,20180425,0.0605,20180301,20180425,20180425,20180426,人民币元,0.0001
10001255.SH,SSE,华夏上证50ETF期权1804认购3.10,10000.0,OP510050.SH,ETF期权,C,欧式,3.1,201804,20180425,0.0388,20180301,20180425,20180425,20180426,人民币元,0.0001
10001256.SH,SSE,华夏上证50ETF期权1804认沽2.65,10000.0,OP510050.SH,ETF期权,P,欧式,2.65,201804,20180425,0.0326,20180301,20180425,20180425,20180426,人民币元,0.0001
10001257.SH,SSE,华夏上证50ETF期权1804认沽2.70,10000.0,OP510050.SH,ETF期权,P,欧式,2.7,201804,20180425,0.043,20180301,20180425,20180425,20180426,人民币元,0.0001
