,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,per_unit,call_put,exercise_price,maturity_date,s_month,equities_close,maturity_time,iv,value,vega
0,10001571.SH,20190102,SSE,0.0625,0.0625,0.0556,0.0805,0.0541,0.0742,0.0742,12.3645,88486362.0,64983.0,10000.0,-1,2.3,20190123,201901,2.255,0.057534246575342465,0.2265884901027932,0.044001957714106865,0.2679822849792136
1,10001425.SH,20190102,SSE,0.0075,0.0075,0.0081,0.0081,0.0052,0.006,0.006,0.2697,156580.3,16908.0,10202.0,1,2.745,20190327,201903,2.255,0.23013698630136986,0.24535368587223422,-0.05752730466488121,0.20747127328624432
2,10001629.SH,20190102,SSE,0.2189,0.2189,0.2245,0.2245,0.1925,0.1967,0.1967,0.0495,985810.0,3917.0,10000.0,1,2.2,20190626,201906,2.255,0.4794520547945205,0.2655809576233692,0.0981349564713585,0.9497807852934165
3,10001532.SH,20190102,SSE,0.0032,0.0032,0.0032,0.0049,0.0016,0.0016,0.0016,0.4493,90752.91,12308.0,10202.0,1,2.549,20190123,201901,2.255,0.057534246575342465,0.2649606650512085,-0.09293245581540932,0.21538980320346565
4,10001537.SH,20190102,SSE,0.0945,0.0945,0.0907,0.1184,0.0843,0.1127,0.1127,0.5069,5645507.27,7308.0,10202.0,-1,2.352,20190123,201901,2.255,0.057534246575342465,0.2332824717706073,0.07268835366748361,0.2564204846913083
5,10001620.SH,20190102,SSE,0.414,0.4,0.3951,0.4319,0.3951,0.4259,0.445,0.0339,1422056.0,1232.0,10000.0,-1,2.7,20190327,201903,2.255,0.23013698630136986,7.888609052210118e-31,0.38089317188327265,0.23168502816846764
6,10001419.SH,20190102,SSE,0.0494,0.0494,0.0504,0.0522,0.037000000000000005,0.0393,0.0393,0.2143,874657.25,9356.0,10202.0,1,2.45,20190327,201903,2.255,0.23013698630136986,0.24235702519362118,-0.026430726160958984,0.40268662632481883
7,10001593.SH,20190102,SSE,0.2255,0.2255,0.2206,0.2541,0.21899999999999997,0.2466,0.2486,0.0421,1035323.0,2175.0,10000.0,-1,2.5,20190327,201903,2.255,0.23013698630136986,0.159323149768536,0.2015473239914065,0.36370393652846045
8,10001641.SH,20190102,SSE,0.1934,0.1934,0.1988,0.2049,0.1585,0.1661,0.1661,1.0816,18694304.0,9626.0,10000.0,1,2.1,20190123,201901,2.255,0.057534246575342465,0.2742582804660859,0.11054165357191303,0.31475200444069157
9,10001605.SH,20190102,SSE,0.0467,0.0464,0.0478,0.0479,0.0364,0.0378,0.0373,0.0307,120261.0,2953.0,10000.0,1,2.65,20190626,201906,2.255,0.4794520547945205,0.2409979661842745,-0.017257828923604057,0.24255788630650046
10,10001424.SH,20190102,SSE,0.0109,0.0109,0.0111,0.0117,0.0073,0.0082,0.0082,0.1712,139236.9,6028.0,10202.0,1,2.696,20190327,201903,2.255,0.23013698630136986,0.24334590452636995,-0.056782192414526034,0.23393439461793156
11,10001609.SH,20190102,SSE,0.1814,0.1814,0.1776,0.2009,0.1776,0.1957,0.1962,0.1173,2277693.0,1610.0,10000.0,-1,2.4,20190626,201906,2.255,0.4794520547945205,0.18425969390209224,0.144987641993082,0.5802062415722355
12,10001427.SH,20190102,SSE,0.1552,0.1552,0.1484,0.1783,0.1484,0.1718,0.1737,0.0966,1716275.32,3517.0,10202.0,-1,2.401,20190327,201903,2.255,0.23013698630136986,0.1886660401620351,0.12706784243037528,0.44291932361805825
13,10001569.SH,20190102,SSE,0.0012,0.0012,0.0014,0.0014,0.0006,0.0008,0.0008,0.5842,45090.0,37895.0,10000.0,1,2.65,20190123,201901,2.255,0.057534246575342465,0.30121029659297827,-0.11892961595421792,0.19619506295047529
14,10001642.SH,20190102,SSE,0.0065,0.0065,0.0058,0.0071,0.0049,0.0061,0.0061,3.3554,2008569.0,58815.0,10000.0,-1,2.1,20190123,201901,2.255,0.057534246575342465,0.23715619786306452,-0.045576370929782395,0.31475200444069157
15,10001575.SH,20190102,SSE,0.2186,0.2186,0.2105,0.2501,0.205,0.2445,0.245,0.4996,11752821.0,16755.0,10000.0,-1,2.5,20190123,201901,2.255,0.057534246575342465,0.21525648058385416,0.16539591763747197,0.22516261074304064
